Filename,MinX,MinY,MinZ,MaxX,MaxY,MaxZ,Width,Height,Depth
Buildings\Border Corner Diagon.glb,-1.0,8.55184646754888e-18,-1.0,1.20000004768372,0.300000011920929,1.20000004768372,2.2000000476837203,0.300000011920929,2.2000000476837203
Buildings\Border Corner Round.glb,-1.0,-1.53677359726601e-09,-1.0,1.20000004768372,0.300000011920929,1.20000004768372,2.2000000476837203,0.3000000134577026,2.2000000476837203
Buildings\Border Corner Small.glb,0.0,1.68083098439458e-25,0.0,1.20000004768372,0.300000011920929,1.20000004768372,1.20000004768372,0.300000011920929,1.20000004768372
Buildings\Border Corner.glb,-1.0,1.68083098439458e-25,-1.0,1.20000004768372,0.300000011920929,1.20000004768372,2.2000000476837203,0.300000011920929,2.2000000476837203
Buildings\Border High Corner D.glb,-1.0,0.0,-1.0,1.20000004768372,0.5,1.20000004768372,2.2000000476837203,0.5,2.2000000476837203
Buildings\Border High Corner R.glb,-1.0,-1.53677359726601e-09,-1.0,1.20000004768372,0.5,1.20000004768372,2.2000000476837203,0.5000000015367736,2.2000000476837203
Buildings\Border High Corner S.glb,0.0,2.25597315877445e-17,0.0,1.20000004768372,0.5,1.20000004768372,1.20000004768372,0.5,1.20000004768372
Buildings\Border High Corner.glb,-1.0,2.25597315877445e-17,-1.0,1.20000004768372,0.5,1.20000004768372,2.2000000476837203,0.5,2.2000000476837203
Buildings\Border High.glb,0.0499999783933163,0.0,-1.0,0.249999955296516,0.5,1.0,0.1999999769031997,0.5,2.0
Buildings\Border.glb,0.0499999783933163,0.0,-1.0,0.249999955296516,0.300000011920929,1.0,0.1999999769031997,0.300000011920929,2.0
Buildings\Column Thin.glb,-0.199999988079071,0.0,-0.199999988079071,0.199999988079071,2.40000009536743,0.199999988079071,0.399999976158142,2.40000009536743,0.399999976158142
Buildings\Column Wide.glb,-0.349999994039536,0.0,-0.349999994039536,0.349999994039536,2.40000009536743,0.349999994039536,0.699999988079072,2.40000009536743,0.699999988079072
Buildings\Column.glb,-0.25,0.0,-0.25,0.25,2.40000009536743,0.25,0.5,2.40000009536743,0.5
Buildings\Corrugated Iron Sheet-jzqMyr29tn.glb,-0.0500000081956387,0.0,-1.0,0.0500000081956387,1.0,1.0,0.1000000163912774,1.0,2.0
Buildings\Corrugated Iron Sheet-rEV3YTvo1h.glb,-0.0750000178813934,0.0,-1.0,0.0500000081956387,1.0,2.88764564323129e-15,0.1250000260770321,1.0,1.0000000000000029
Buildings\Corrugated Iron Sheet-XbTpa4CwVl.glb,-0.0750000178813934,0.0,-1.0,0.0500000081956387,1.0,1.0,0.1250000260770321,1.0,2.0
Buildings\Corrugated Iron Sheet.glb,-0.0500000081956387,0.0,-1.0,0.0500000081956387,1.0,2.88764564323129e-15,0.1000000163912774,1.0,1.0000000000000029
Buildings\Detail Pipe.glb,-0.217079982161522,0.0,-0.217079982161522,0.217079982161522,0.42767995595932,0.217079982161522,0.434159964323044,0.42767995595932,0.434159964323044
